Longitude,Latitude,Name,Description,House,Address,Tags,Category
103.8560707,1.303210541,Church of Our Lady of Lourdes,"Known simply as the Indian Church or Tamil Church in the past, the Church of Our Lady of Lourdes is one of Singapore’s oldest Catholic churches.",50,Ophir Road,Monuments,Sights
103.8245445,1.447377772,Former Admiralty House,"Surrounded by several ancillary buildings and facilities on a sprawling estate, the Former Admiralty House used to accommodate key military commanders based in Singapore.",345,Old Nelson Road,Monuments,Sights
103.8505995,1.298273205,Maghain Aboth Synagogue,"Located in the former Jewish neighbourhood, Maghain Aboth Synagogue is the oldest surviving synagogue not only in Singapore, but also in Southeast Asia.",,Waterloo Street,Monuments,Sights
103.8491889,1.292154101,Central Fire Station,The Central Fire Station is the oldest surviving fire station in Singapore and is a living monument to the local firefighting force.,62,Hill Street,Monuments,Sights
103.8432425,1.298499336,Former House of Tan Yeok Nee,"Standing out prominently from its modern surroundings, the Chinese-style Former House of Tan Yeok Nee is the sole survivor of the ‘Four Grand Mansions’ built in the late nineteenth-century.",101,Penang Road,Monuments,Sights
103.8408565,1.293303497,Hong San See,"Hong San See (‘Temple on Phoenix Hill’), perched on the side of Institution Hill off Mohamed Sultan Road, was established by Hokkien immigrants from Nan’an (or Lam Ann) County in Fujian Province.",31,Mohamed Sultan Road,Monuments,Sights
103.8491639,1.294236311,Former Tao Nan School (now The Peranakan Museum),"A stone’s throw from the Armenian Church is a century-old building that used to house Tao Nan School, the first modern Chinese school in Singapore.",39,Armenian Street,Monuments,Sights
103.8478013,1.281457101,Former Nagore Dargah,"The Former Nagore Dargah is situated on the historic Telok Ayer Street, a short distance from Telok Ayer Chinese Methodist Church, Al-Abrar Mosque and Thian Hock Keng.",140,Telok Ayer Street,Monuments,Sights
103.8511097,1.301714219,Prinsep Street Presbyterian Church,Prinsep Street Presbyterian Church is one of Singapore’s oldest Presbyterian churches.,77,Prinsep Street,Monuments,Sights
103.8469914,1.278473606,Telok Ayer Chinese Methodist Church,"Originally known as the Chinese Methodist Church, Telok Ayer Chinese Methodist Church was the first church established to cater exclusively to the spiritual needs of the Chinese Methodist community.",235,Telok Ayer Street,Monuments,Sights
103.8476973,1.281201666,Former Keng Teck Whay Building,"Once home to one of Singapore's oldest self-help organisations, the Former Keng Teck Whay Building is situated next to Thian Hock Keng.",150,Telok Ayer Street,Monuments,Sights
103.84897,1.276201,Former Singapore Conference Hall and Trade Union House (now Singapore Conference Hall),The Former Singapore Conference Hall and Trade Union House was constructed to house the headquarters of the National Trades Union Congress (NTUC) as the fulfilment of an election promise.,7,Shenton Way,Monuments,Sights
103.9696283,1.356417666,Changi Prison Gate Wall and Turrets,Changi Prison was designed to be a maximum security prison to house up to 600 criminals sentenced to long-term imprisonment in British Singapore.,,Upper Changi Road North,Monuments,Sights
103.819148,1.325597,Former Command House,"The stately Former Command House is located near Bukit Timah Road, a major road constructed during the mid-nineteenth century and one of the last defences against the invading Japanese troops in 1942.",17,Kheam Hock Road,Monuments,Sights
103.853389,1.289684,Esplanade Park Memorials,"Prior to the first land reclamation in 1843, the original shoreline of Singapore ran across the present Padang.",,"Esplanade Park, Connaught Drive",Monuments,Sights
103.8369,1.272797,Former Tanjong Pagar Railway Station,The Former Tanjong Pagar Railway Station was previously the southernmost terminal station of the Federated Malay States Railways.,30,Keppel Road,Monuments,Sights
103.854717,1.292883,Civilian War Memorial,"Not far from the Esplanade Park Memorials stands the Civilian War Memorial, the first memorial in Singapore dedicated to the civilian victims of the Japanese Occupation (1942–1945).",,Beach Road,Monuments,Sights
103.890715,1.305363,Chung Cheng High School (Main) Administration Building and Entrance Arch,"As one of Singapore’s oldest Chinese high schools, Chung Cheng High School was among the firsts to make higher education accessible to Chinese youth.",50,Goodman Road,Monuments,Sights
103.8482727,1.290884559,Former Hill Street Police Station,"Nicknamed the ‘Police Skyscraper’ in the past, the Former Hill Street Police Station is prominently located at the junction of Hill Street and River Valley Road.",140,Hill Street,Monuments,Sights
103.8542744,1.294934986,Raffles Hotel,Raffles Hotel is one of the most well-known luxury hotels in Singapore and the oldest surviving establishment of its kind on the island.,1,Beach Road,Monuments,Sights
103.848486,1.296661822,National Museum of Singapore,"With its wide façade and large dome, the National Museum of Singapore has been a prominent landmark on Stamford Road for over a century.",93,Stamford Road,Monuments,Sights
103.8472533,1.328134534,Former Sun Yat Sen Villa (now Sun Yat Sen Nanyang Memorial Hall),Sun Yat-sen Nanyang Memorial Hall is one of the few surviving examples of villas that were once common sights in British Singapore.,12,Tai Gin Road,Monuments,Sights
103.8593641,1.302540103,Sultan Mosque,"Formerly the royal mosque of the Sultan of Johor, Sultan Mosque represents the solidarity and unity of Muslims in Singapore.",3,Muscat Street,Monuments,Sights
103.8521927,1.292188356,St. Andrew's Cathedral,Saint Andrew's Cathedral is Singapore’s oldest surviving Anglican place of worship and is the seat of the Anglican bishop of Singapore.,11,St. Andrew's Road,Monuments,Sights
103.84292,1.289095571,Tan Si Chong Su,The history of Tan Si Chong Su (‘Ancestral Hall of the Tan Clan’) is inextricably linked to the influx of Chinese immigrants into Singapore during the late nineteenth century.,15,Magazine Road,Monuments,Sights
103.8530633,1.286344666,Former Fullerton Building,The former Fullerton Building is a prominent landmark situated at the mouth of the Singapore River.,1,Fullerton Square,Monuments,Sights
103.8514224,1.287569861,Former Empress Place Building (now Asian Civilisations Museum),"Situated at the mouth of the Singapore River, the Former Empress Place Building was an important government building in Singapore up to the 1980s.",1,Empress Place,Monuments,Sights
103.8341268,1.308122158,Goodwood Park Hotel (Tower Block),"The Tower Wing of the present-day Goodwood Park Hotel was home to the German Teutonia Club, one of the earliest European national clubs in Singapore.",22,Scotts Road,Monuments,Sights
